Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
"What is the purpose of the HTML5 ‘input’ element with type=’date’? (Mục đích của phần tử ‘input’ HTML5 với type=’date’ là gì?)",Multiple Choice,"To allow users to select a date from a calendar interface. (Cho phép người dùng chọn ngày từ giao diện lịch.)","To generate a dropdown list of pre-defined options. (Tạo danh sách thả xuống các tùy chọn được xác định trước.)","To create a text input field that only accepts numerical values. (Tạo trường nhập văn bản chỉ chấp nhận giá trị số.)","To link the user to a different webpage upon selection. (Liên kết người dùng đến một trang web khác khi chọn.)",,1,60,,
"Computers communicate with each other using which protocol? (Các máy tính truyền thông với nhau bằng cách sử dụng giao thức nào?)",Multiple Choice,"Mail Protocol","Network Protocol","Mobile Protocol","Internet Protocol",,4,60,,
"Which popular front-end framework was created by Facebook and is widely used for building user interfaces? (Đâu là framework phổ biến cho front-end được tạo bởi Facebook và được sử dụng rộng rãi trong xây dựng giao diện người dùng?)",Multiple Choice,"Angular","React.js","Ember.js","Vue.js",,2,60,,
"Which of the following HTML5 input types is specifically designed for entering a telephone number? (Loại input nào sau đây trong HTML5 được thiết kế đặc biệt để nhập số điện thoại?)",Multiple Choice,"url","tel","email","number",,2,60,,
"Which of the following tools and technologies are commonly used in front-end development? (Các công cụ và công nghệ nào thường được sử dụng trong phát triển front-end?)",Checkbox,"React.js","CSS","Node.js","Django",,"1,2",60,,
"What is the primary role of front-end development in a full-stack project? (Mục đích chính của phát triển front-end trong một dự án full-stack là gì?)",Multiple Choice,"Ensuring network security (Đảm bảo an ninh mạng)","Creating APIs for data exchange (Tạo các API để trao đổi dữ liệu)","Managing the server and database (Quản lý máy chủ và cơ sở dữ liệu)","Designing the user interface and user experience (Thiết kế giao diện người dùng và trải nghiệm người dùng)",,4,60,,
"Which element is used to get highlighted text in HTML5? (Phần tử nào được sử dụng để làm nổi bật văn bản trong HTML5?)",Multiple Choice,"<mark>","<highlight>","<b>","<u>",,1,60,,
"What is the significance of using an Integrated Development Environment (IDE) in web development? (Mục đích của việc sử dụng Môi trường Phát triển Tích hợp (IDE) trong phát triển web là gì?)",Multiple Choice,"Provides a comprehensive environment for coding, debugging, and testing (Cung cấp một môi trường toàn diện cho việc lập trình, gỡ lỗi và thử nghiệm)","Reduces the need for manual testing (Giảm sự cần thiết của kiểm thử thủ công)","Limits the ability to use third-party libraries (Hạn chế khả năng sử dụng các thư viện của bên thứ ba)","Restricts coding to a single language (Hạn chế việc lập trình chỉ với một ngôn ngữ duy nhất)",,1,60,,
"What distinguishes front-end development from back-end development? (Điều gì phân biệt phát triển front-end với phát triển back-end?)",Multiple Choice,"Front-end development involves managing databases and server logic (Phát triển front-end liên quan đến việc quản lý cơ sở dữ liệu và logic máy chủ)","Front-end development deals with the visual aspects of a website that users interact with (Phát triển front-end xử lý các khía cạnh trực quan của một trang web mà người dùng tương tác)","Front-end development is solely responsible for server-side scripting (Phát triển front-end chịu trách nhiệm duy nhất cho việc viết script phía máy chủ)","Front-end development is used to create APIs and manage servers (Phát triển front-end được sử dụng để tạo API và quản lý máy chủ)",,2,60,,
"Which tag is used to create a numbered list in HTML? (Thẻ nào được sử dụng để tạo danh sách được đánh số trong HTML?)",Multiple Choice,"<li>","<ul>","<dl>","<ol>",,4,60,,
"Trong đoạn mã CSS dưới đây, phần h1 được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Property","CSS Attribute","CSS Rule","CSS Selector",,4,60,,
"Select all the valid CSS property-value pairs. (Chọn tất cả các cặp “thuộc tính-giá trị” CSS hợp lệ.)",Checkbox,"text-align: center","color: blue","bgcolor: red","font-size: 16px",,"1,2,4",60,,
"Trong CSS, thuộc tính position: absolute; có nghĩa là gì?",Multiple Choice,"Phần tử di chuyển theo trang khi cuộn","Phần tử bị cố định trên màn hình","Phần tử được định vị tương đối so với vị trí ban đầu của nó","Phần tử được định vị tuyệt đối so với phần tử cha gần nhất có thuộc tính position (khác static)",,4,60,,
"What are some of the benefits of using Content Delivery Networks (CDNs) for hosting Bootstrap websites? (Các lợi ích của việc sử dụng Content Delivery Networks (CDNs) để lưu trữ các trang web Bootstrap là gì?)",Multiple Choice,"Limited scalability for high-traffic websites. (Khả năng mở rộng hạn chế cho các trang web có lưu lượng truy cập cao.)","Increased need for server maintenance. (Tăng nhu cầu bảo trì máy chủ.)","Higher costs due to additional hardware. (Chi phí cao hơn do bổ sung phần cứng.)","Reduced latency and faster load times for users. (Giảm độ trễ và thời gian tải nhanh hơn cho người dùng.)",,4,60,,
"In the following CSS code, what is the h1: part known as? (Trong đoạn mã CSS dưới đây, phần h1 được biết đến là gì?) h1 { color: purple; }",Multiple Choice,"CSS Attribute","CSS Selector","CSS Property","CSS Rule",,2,60,,
"Trong CSS, khai báo sau đây có tác dụng gì? h1 {color: red; text-decoration: underline; font-style: italic;}",Multiple Choice,"Thẻ <h1> có chữ gạch chân và in nghiêng","Thẻ <h1> có chữ in nghiêng","Thẻ <h1> có chữ màu đỏ, gạch chân và in nghiêng","Thẻ <h1> có chữ màu đỏ, gạch chân",,3,60,,
"Which of the following statements correctly explains the logical property of margin in CSS? (Câu nào sau đây giải thích đúng về thuộc tính logic của margin trong CSS?)",Multiple Choice,"The margin property sets the padding inside an element, between the content and the border. (Thuộc tính margin thiết lập khoảng đệm bên trong một phần tử, giữa nội dung và đường viền.)","The margin property defines the space around an element, outside of its border. (Thuộc tính margin xác định khoảng trống xung quanh một phần tử, nằm bên ngoài đường viền của nó.)","The margin property specifies the thickness of the element’s border. (Thuộc tính margin xác định độ dày của đường viền của phần tử.)","The margin property is responsible for the content’s width and height inside the element. (Thuộc tính margin quy định cho chiều rộng và chiều cao của nội dung bên trong phần tử.)",,2,60,,
"Which of the following is a best practice when using Bootstrap for developing responsive web pages? (Câu nào sau đây là lựa chọn đúng nhất khi sử dụng Bootstrap để thiết kế web responsive?)",Multiple Choice,"Always use fixed-width layouts to ensure consistency. (Luôn sử dụng bố cục cố định chiều rộng để đảm bảo tính nhất quán.)","Using inline CSS styles for responsiveness. (Sử dụng inline CSS để tạo giao diện responsive.)","Design for the largest screen size first and then degrade for smaller screens. (Thiết kế cho kích thước màn hình lớn nhất trước, sau đó giảm dần cho các màn hình nhỏ hơn.)","Start designing for the smallest screen size first and progressively enhance for larger screens. (Bắt đầu thiết kế cho kích thước màn hình nhỏ nhất trước và nâng cấp dần cho các màn hình lớn hơn.)",,4,60,,
"Trong đoạn mã CSS dưới đây, { color: purple; } được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Attribute","CSS Property","CSS Rule","CSS Selector",,3,60,,
"Dòng liên kết với file CSS được đặt ở vùng nào trong file HTML?",Multiple Choice,"Trong thẻ <body>","Đặt ở đâu cũng được","Trong thẻ <header>","Trong thẻ <head>",,4,60,,
"Which of the following best describes the conditions for enabling scripting in a browser?(Phát biểu nào sau đây mô tả các điều kiện để bật script trong trình duyệt?)",Multiple Choice,"Scripting is enabled only if the website uses HTML5.","Scripting is enabled if the browser supports JavaScript and the user has not disabled it.","Scripting is enabled if the website includes a meta tag to enable it.","Scripting is enabled only if the user manually enables it in the browser settings.",,2,60,,
"Which of the following are true about the differences between var, let, and const in JavaScript? (Những điều nào sau đây là đúng về sự khác biệt giữa var, let và const trong JavaScript?)",Checkbox,"var is function-scoped, while let and const are block-scoped. (var có phạm vi trong hàm, trong khi let và const có phạm vi trong khối.)","const variables can be reassigned after their initial value is set. (Các biến const có thể được gán lại sau khi giá trị ban đầu của chúng được thiết lập.)","Variables declared with let or const are not hoisted. (Biến được khai báo với let hoặc const không được hoisted.)","let and const were introduced in ES6 to improve the way we declare variables. (let và const được giới thiệu trong ES6 để cải thiện cách chúng ta khai báo biến.)",,"1,4",60,,
"Arrays can store multiple, related pieces of information, but they must all be of the same type (String, Object, etc.).",Multiple Choice,"Sai","Đúng",,,,1,60,,
"In JavaScript, which of the following is a correct way to define a function? (Trong JavaScript, sử dụng cách nào sau đây để định nghĩa một hàm?)",Multiple Choice,"myFunc function() { }","define myFunc() { }","function: myFunc() { }","function myFunc() { }",,4,60,,
"The following is valid JavaScript code: <button onclick=""this.style.display='none'"">Click to Remove Me!</button>",Multiple Choice,"Sai","Đúng",,,,2,60,,
"What is the purpose of the <!DOCTYPE html> declaration in an HTML document? (Mục đích của khai báo <!DOCTYPE html> trong tài liệu HTML là gì?)",Multiple Choice,"To encode objects for the document (Để mã hóa các đối tượng cho tài liệu)","To declare the character encoding for the document (Để khai báo mã hóa ký tự cho tài liệu)","To link CSS files to the HTML document (Để liên kết các tệp CSS với tài liệu HTML)","To define the document type and version of HTML being used (Để xác định loại tài liệu và phiên bản HTML đang được sử dụng)",,4,60,,
"Which two elements should be added to the HTML element to make the structure of an HTML document? (Hai phần tử cần được thêm vào trong phần tử html để tạo cấu trúc của một tài liệu HTML là gì?)",Checkbox,"<body>","<div>","<head>","<p>",,"1,3",60,,
"Select the technologies that are commonly used in the frontend development of web projects. (Chọn các công nghệ thường được sử dụng trong phát triển frontend của các dự án web.)",Checkbox,"CSS","HTML","SQL","Python",,"1,2",60,,
"What qualities should a web developer possess to succeed in the field? (Những phẩm chất nào mà một nhà phát triển web cần có để thành công trong lĩnh vực này?)",Checkbox,"Strong technical skills (Kỹ năng kỹ thuật vững chắc)","Project management abilities (Khả năng quản lý dự án)","Continuous learning (Học tập liên tục)","Neglecting soft skills (Bỏ qua kỹ năng mềm)",,"1,2,3",60,,
"What is a primary challenge when working with HTML and CSS in web development? (Thách thức chính khi làm việc với HTML và CSS trong phát triển web là gì?)",Multiple Choice,"Setting up version control systems like Git. (Thiết lập hệ thống kiểm soát phiên bản như Git.)","Centering elements correctly across different browsers. (Căn giữa các thành phần một cách chính xác trên các trình duyệt khác nhau.)","Writing JavaScript code for animations. (Viết mã JavaScript cho chuyển động)","Managing server-side databases. (Quản lý cơ sở dữ liệu phía máy chủ.)",,2,60,,
"To communicate with another computer on a network, your computer sends a message called an….. (Để truyền thông/giao tiếp với máy tính khác trên mạng, máy tính của bạn gửi một thông điệp gọi là ….)",Multiple Choice,"IP Container","IP Packet","IP Mail",,,2,60,,
"When adding an image to a web page, which of the following is the correct HTML tag? (Thẻ HTML nào sau đây được sử dụng đúng để tạo một hình ảnh trên trang web?)",Multiple Choice,"<image>","<link>","<img>",,,3,60,,
"Which of the following tag is used for inserting the largest heading in HTML? (Thẻ nào sau đây được sử dụng để chèn tiêu đề lớn nhất trong HTML?)",Multiple Choice,"head","heading","<h1>","<h6>",,3,60,,
"Which of the following is the correct syntax to link an external style sheet in an HTML file? (Cú pháp nào sau đây là đúng để liên kết một bảng định kiểu ngoài trong tệp HTML?)",Multiple Choice,"<style rel=”stylesheet” link=”style.css” />","<link rel=”stylesheet” href=”style.css” />","<link rel=”stylesheet” src=”style.css” />","<style rel=”stylesheet” src=”style.css” />",,2,60,,
"What does the z-index property control in CSS? (Thuộc tính z-index trong CSS điều khiển điều gì?)",Multiple Choice,"The stacking order of elements on the z-axis. (Thứ tự chồng của các phần tử trên trục z.)","The position of the element on the x-axis. (Vị trí của phần tử trên trục x.)","The color of the element. (Màu sắc của phần tử.)","The font size of the element. (Kích thước phông chữ của phần tử.)",,1,60,,
"Khai báo nào sau đây cho phép canh lề đều hai bên cho đoạn văn trong CSS?",Multiple Choice,"text-align:center;","font-align:center;","text-align:justify;","font-align:justify;",,3,60,,
"Which of the following are valid ways to add Bootstrap to a project? (Câu nào sau đây là cách hợp lệ để thêm Bootstrap vào một dự án?)",Checkbox,"Download from the official Bootstrap website. (Tải xuống từ trang web chính thức của Bootstrap.)","Install via package manager like npm. (Cài đặt qua trình quản lý package như npm.)","Copying CSS and JavaScript files from any random website. (Sao chép các tệp CSS và JavaScript từ bất kỳ trang web ngẫu nhiên nào.)","Link to Bootstrap CDN. (Liên kết tới Bootstrap CDN.)",,"1,2,4",60,,
"Thuộc tính CSS nào sau đây xác định độ dày của đường viền?",Multiple Choice,"border-bottom-color","border-width","border-style","border-color",,2,60,,
"Trong CSS, thuộc tính z-index dùng để làm gì?",Multiple Choice,"Xác định độ trong suốt của phần tử","Xác định thứ tự chồng lớp của phần tử","Xác định kích thước của phần tử","Xác định màu sắc của phần tử",,2,60,,
"Khai báo nào sau đây giúp hiển thị một đường viền có đặc điểm như sau: - Đường viền trên có độ dày 10px - Đường viền dưới có độ dày 5px - Đường viền trái có độ dày 20px - Đường viền phải có độ dày 1px",Multiple Choice,"border-width:10px 1px 5px 20px;","border-width:10px 20px 5px 1px;","border-width:5px 20px 10px 1px;","border-width:10px 5px 20px 1px;",,1,60,,
"How do you access the first element with the class name ‘example’ using the DOM API? (Làm thế nào để bạn truy cập phần tử đầu tiên có tên lớp ‘example’ bằng cách sử dụng DOM API?)",Checkbox,"document.getElementById(‘example’)","document.querySelector(‘#example’)","document.querySelector(‘.example’)","document.getElementsByClassName(‘example’)[0]",,"3,4",60,,
"var my_array = [2, 4, 6, 8, 10] What is the value of my_array[4] ?",Multiple Choice,"10","6","8","4","2",1,60,,
"Which keyword is used to define a function in JavaScript?",Multiple Choice,"Function",,,,,1,60,,
"Which of the following are common JavaScript data types? (Những kiểu dữ liệu nào sau đây là các kiểu dữ liệu thường gặp trong JavaScript?)",Checkbox,"Function","String","Character","Number",,"1,2,4",60,,
"Which of the following statements about JavaScript variables and data types are correct? (Những phát biểu nào sau đây về biến và kiểu dữ liệu trong JavaScript là đúng?)",Checkbox,"JavaScript has dynamic typing. (JavaScript có kiểu dữ liệu động.)","Primitive data types in JavaScript include string, number, and boolean. (Các kiểu dữ liệu nguyên thủy trong JavaScript bao gồm chuỗi, số và boolean.)","JavaScript variables must be declared with a type. (Biến trong JavaScript phải được khai báo với một kiểu dữ liệu.)","Objects in JavaScript are a type of primitive data type. (Đối tượng trong JavaScript là một loại kiểu dữ liệu nguyên thủy.)",,"1,2",60,,
"What is full-stack development? (Phát triển full-stack là gì?)",Multiple Choice,"Development that focuses solely on the client-side of an application. (Phát triển chỉ tập trung vào phía client của một ứng dụng.)","Development that focuses only on the server-side of an application. (Phát triển chỉ tập trung vào phía server của một ứng dụng.)","Development that covers both the front-end and back-end of an application. (Phát triển bao gồm cả front-end và back-end của một ứng dụng.)","Development that integrates cloud services only. (Phát triển chỉ tích hợp các dịch vụ đám mây.)",,3,60,,
"Identify the roles and responsibilities of front-end developers. (Xác định các vai trò và trách nhiệm của các nhà phát triển front-end.)",Checkbox,"Creating interactive user experiences (Tạo ra các trải nghiệm người dùng tương tác)","Designing user interfaces (Thiết kế giao diện người dùng)","Implementing server-side logic (Triển khai logic phía máy chủ)","Ensuring cross-browser compatibility (Đảm bảo tính tương thích giữa các trình duyệt)",,"1,2,4",60,,
"Which of the following elements in HTML5 defines video or movie content? (Thẻ nào sau đây trong HTML5 định nghĩa nội dung video hoặc phim?)",Multiple Choice,"<video>","<audio>","<media>","<movie>",,1,60,,
"What distinguishes block-level elements from inline elements in HTML? (Điểm khác biệt giữa các phần tử block-level và các phần tử inline trong HTML là gì?)",Checkbox,"Block-level elements cannot have any padding or margin, while inline elements can. (Các phần tử Block-level không thể có bất kỳ phần đệm hoặc lề nào, trong khi các phần tử inline có thể.)","Block-level elements are always displayed on a new line, whereas inline elements can appear on the same line. (Các phần tử Block-level luôn được hiển thị trên một dòng mới, trong khi các phần tử inline có thể xuất hiện trên cùng một dòng.)","Block-level elements take up the full width available, while inline elements only take up as much width as needed. (Các phần tử block-level chiếm toàn bộ chiều rộng có sẵn, trong khi các phần tử inline chỉ chiếm một lượng chiều rộng cần thiết.)","Block-level elements are restricted to certain tags like <div>, while inline elements are restricted to tags like <span>. (Các phần tử Block-level bị giới hạn ở một số thẻ nhất định như <div>, trong khi các phần tử inline bị giới hạn ở các thẻ như <span>.)",,"2,3",60,,
"What is the style of a web page defined using? (Định dạng của trang web được định nghĩa bằng gì?)",Multiple Choice,"JavaScript","HTML","CSS",,,3,60,,
"Cách viết selector nào sau đây có thể được sử dụng để chọn phần từ <h1>? Chọn nhiều. <h1 class=”title”>Welcome</h1>",Checkbox,"Descendant Selector","Class Selector","ID Selector","Element Selector",,"2,4",60,,
"Trong đoạn mã CSS dưới đây, { color: purple; } được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Selector","CSS Rule","CSS Attribute","CSS Property",,2,60,,
"Thuộc tính nào sau đây cho phép thay màu của chữ (text)?",Multiple Choice,"color","bgcolor","text-color","font-color",,1,60,,
"Trong CSS, thuộc tính nào giúp tạo hiệu ứng chuyển động?",Checkbox,"transform","animation","hover","transition",,"2,4",60,,
"What is the primary advantage of using CSS in web development? (Lợi ích chính của việc sử dụng CSS trong phát triển web là gì?)",Multiple Choice,"It allows for the inclusion of multimedia elements. (Nó cho phép đưa vào các phần tử đa phương tiện.)","It provides a uniform look and feel across different web pages. (Nó cung cấp một giao diện và cảm giác đồng nhất trên các trang web khác nhau.)","It makes the content of the webpage more searchable by search engines. (Nó giúp nội dung của trang web dễ tìm kiếm hơn bởi các công cụ tìm kiếm.)","It ensures the security of the web application. (Nó đảm bảo tính bảo mật của ứng dụng web.)",,2,60,,
"In the following CSS rule, what part of the rule is represented by div ? (Trong đoạn mã CSS dưới đây, phần div được biết đến là gì?) div { width: 50%; }",Multiple Choice,"CSS Rule","CSS Property","CSS Attribute","CSS Selector",,4,60,,
"What is one of the primary benefits of using a CSS framework like Bootstrap? (Một trong những lợi ích chính của việc sử dụng một framework CSS như Bootstrap là gì?)",Multiple Choice,"It helps in creating a responsive design easily. (Nó giúp tạo ra một thiết kế responsive một cách dễ dàng.)","It reduces the loading time of the website. (Nó giảm thời gian tải trang web.)","It eliminates the need for HTML. (Nó loại bỏ nhu cầu sử dụng HTML.)","It provides built-in SEO features. (Nó cung cấp các tính năng SEO tích hợp sẵn.)",,1,60,,
"Trong CSS, thuộc tính position: relative; có nghĩa là gì?",Multiple Choice,"Phần tử di chuyển theo trang khi cuộn","Phần tử được cố định so với cửa sổ trình duyệt","Phần tử sẽ bị xóa khỏi luồng bình thường của tài liệu","Phần tử được định vị tương đối so với vị trí ban đầu của nó",,4,60,,
"What is the Document Object Model (DOM) tree? (Cây Document Object Model (DOM) là gì?)",Multiple Choice,"A method for styling HTML elements using CSS.","A protocol for transferring web pages from the server to the browser.","A model used to design the layout of a webpage.","A representation of a web document’s structure as a tree of objects.",,4,60,,
"Which of the following are valid ways to declare a variable in JavaScript? (Những cách nào sau đây là hợp lệ để khai báo một biến trong JavaScript?)",Checkbox,"const","let","variable","var",,"1,2,4",60,,
"<body> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The user places his/her mouse over any paragraph on the page","The user clicks on any paragraph on the page","The function is never called.","The user clicks on the second paragraph on the page",,4,60,,
"What is the structure of a web page defined using? (Cấu trúc của trang web được định nghĩa bằng gì?)",Multiple Choice,"JavaScript","CSS","HTML",,,3,60,,
"How to create a checkbox in HTML Form? (Làm thế nào để tạo một hộp kiểm trong HTML Form?)",Multiple Choice,"<input type=”text”>","<input type=”textarea”>","<input type=”button”>","<input type=”checkbox”>",,4,60,,
"When an HTML form is submitted to a web server, which HTTP methods can be used? Select all that apply. (Phương thức HTTP nào được sử dụng khi gửi một HTML form đến máy chủ web? Chọn nhiều)",Checkbox,"DELETE","PUT","POST","GET",,"3,4",60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ hiển thị thanh cuộn nếu nội dung vượt quá kích thước phần tử?",Multiple Choice,"visible","auto","hidden","scroll",,4,60,,
"Which of the following types of HTML tags is used to define an internal style sheet? (Loại thẻ HTML nào sau đây được sử dụng để xác định một bảng kiểu nội bộ?)",Multiple Choice,"<class>","<style>","<script>","<link>",,2,60,,
"Trong CSS, làm thế nào để chọn tất cả các phần tử <p> bên trong một <div> ?",Multiple Choice,"div-p {}","div.p {}","div p {}","p div {}",,3,60,,
"Which of the following CSS properties is used to control the stack order of elements? (Thuộc tính CSS nào sau đây được sử dụng để kiểm soát thứ tự xếp chồng của các phần tử?)",Multiple Choice,"display","position","z-index","float",,3,60,,
"Trong CSS, thuộc tính nào sau đây giúp xoay phần tử?",Multiple Choice,"rotate","transform","transition","animation",,2,60,,
"Which type of CSS positioning would you use to keep a navigation menu fixed at the top of the webpage while scrolling? (Loại vị trí CSS nào bạn sẽ sử dụng để giữ menu điều hướng cố định ở đầu trang web khi cuộn?)",Multiple Choice,"Relative","Static","Absolute","Fixed",,4,60,,
"Giá trị nào của thuộc tính align-items trong flexbox sẽ làm giãn các phần tử con để lấp đầy không gian theo chiều dọc?",Multiple Choice,"flex-start","stretch","flex-end","center",,2,60,,
