Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
"How do you properly access the first element in an array variable named ""fruit""?",Multiple Choice,"fruit_0","fruit[1]","[fruit]0","fruit[0]",,4,60,,
"Which of the following are valid ways to declare a function in JavaScript? (Những cách nào sau đây là hợp lệ để khai báo một hàm trong JavaScript?)",Checkbox,"var myFunction = function() { }","function myFunction() { }","let myFunction = () => { }","def myFunction() { }",,"1,2,3",60,,
"Which of the following skills is essential for a successful career in web application development? (Kỹ năng nào sau đây là cần thiết cho một sự nghiệp thành công trong phát triển ứng dụng web?)",Multiple Choice,"Avoiding continuous learning (Tránh việc học tập liên tục)","Focusing solely on front-end development (Chỉ tập trung vào phát triển front-end)","Understanding customer requirements (Hiểu yêu cầu của khách hàng)","Ignoring security and networking concerns (Bỏ qua các vấn đề về bảo mật và mạng)",,3,60,,
"Which of the following is used to read an HTML page and render it? (Cái nào sau đây được sử dụng để đọc một trang HTML và hiển thị nó?)",Multiple Choice,"Web browser","Web network","Web server","Web matrix",,1,60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ luôn hiển thị thanh cuộn dù nội dung có vượt quá hay không?",Multiple Choice,"auto","visible","hidden","scroll",,4,60,,
"Thuộc tính CSS nào sau đây được sử dụng để thay đổi khoảng cách bên trái của một phần tử với phần tử nằm phía trong nó?",Multiple Choice,"inside-left","margin-left","indent","padding-left",,4,60,,
"Khai báo nào sau đây cho phép làm chữ trong tag <p> trở thành chữ đậm?",Multiple Choice,"<p style=”text-size:bold;”>","{text-size:bold;}","p {font-weight:bold;}","<p style=”font-size:bold;”>",,3,60,,
"Khai báo nào sau đây cho phép hiển thị liên kết mà không có gạch chân bên dưới?",Multiple Choice,"a {underline:none;}","a {text-decoration:no underline;}","a {decoration:no underline;}","a {text-decoration:none;}",,4,60,,
"Trong CSS, thuộc tính position: fixed; có nghĩa là gì?",Multiple Choice,"Phần tử bị ẩn khỏi trang web","Phần tử được định vị tuyệt đối so với phần tử cha gần nhất có thuộc tính position","Phần tử được định vị tương đối so với vị trí ban đầu của nó","Phần tử được cố định trên màn hình, không di chuyển khi cuộn trang",,4,60,,
"What is one of the primary benefits of using a CSS framework like Bootstrap? (Một trong những lợi ích chính của việc sử dụng một framework CSS như Bootstrap là gì?)",Multiple Choice,"It provides built-in SEO features. (Nó cung cấp các tính năng SEO tích hợp sẵn.)","It helps in creating a responsive design easily. (Nó giúp tạo ra một thiết kế responsive một cách dễ dàng.)","It reduces the loading time of the website. (Nó giảm thời gian tải trang web.)","It eliminates the need for HTML. (Nó loại bỏ nhu cầu sử dụng HTML.)",,2,60,,
"Giá trị nào sau đây là đúng cho thuộc tính border-style để tạo đường viền liền nét cho phần tử trên trang web?",Multiple Choice,"bold","solid","rock",,,2,60,,
"function can be called multiple times in a single file.",Multiple Choice,"Đúng","Sai",,,,1,60,,
"What is syntactically wrong with this function definition? function Hello();{ alert(""Hello""); document.write(""Hello on the screen""); }",Multiple Choice,"The semicolon after Hello()","The fact that you are outputting the message twice","You can't use document.write after using an alert.",,,1,60,,
"Which of the following best describes HTML5? (Câu nào sau đây mô tả chính xác nhất về HTML5?)",Multiple Choice,"A scripting language used for creating dynamic web pages. (Một ngôn ngữ kịch bản được sử dụng để tạo các trang web động.)","Markup language used for structuring and presenting content on the web. (Ngôn ngữ đánh dấu được sử dụng để cấu trúc và trình bày nội dung trên web.)","A protocol for transferring hypertext requests and information. (Một giao thức để truyền các yêu cầu và thông tin siêu văn bản.)","A database management system for storing web data. (Một hệ thống quản lý cơ sở dữ liệu để lưu trữ dữ liệu web.)",,2,60,,
"What distinguishes block-level elements from inline elements in HTML? (Điều gì phân biệt các phần tử khối (block-level elements) với các phần tử nội dòng (inline elements) trong HTML?)",Checkbox,"Block-level elements take up the full width available, while inline elements only take up as much width as needed. (Các phần tử block chiếm toàn bộ chiều rộng có sẵn, trong khi các phần tử inline chỉ chiếm chiều rộng cần thiết.)","Block-level elements are restricted to certain tags like <div>, while inline elements are restricted to tags like <span>. (Các phần tử block bị giới hạn ở một số thẻ nhất định như <div>, trong khi các phần tử inline bị giới hạn ở các thẻ như <span>.)","Block-level elements cannot have any padding or margin, while inline elements can. (Các phần tử block không thể có bất kỳ khoảng đệm (padding) hoặc khoảng cách (margin) nào, trong khi các phần tử inline có thể có.)","Block-level elements are always displayed on a new line, whereas inline elements can appear on the same line. (Các phần tử Block luôn được hiển thị trên một dòng mới, trong khi các phần tử Inline có thể xuất hiện trên cùng một dòng.)",,"1,4",60,,
"When using the anchor tag <a>, which attribute determines where the hyperlink links to? (Khi sử dụng thẻ <a>, thuộc tính nào quyết định đích đến của liên kết?)",Multiple Choice,"Link","Alt","Src","Href",,4,60,,
"Muốn liên kết HTML với một file định nghĩa CSS ta dùng dạng nào sau đây?",Multiple Choice,"<link rel=”stylesheet” type=”text/css” href=”mystyle.css”>","<style src=”mystyle.css”>","Tất cả các phương án đều sai","<stylesheet>mystyle.css</stylesheet>",,1,60,,
"Giá trị nào của thuộc tính align-items trong flexbox sẽ căn chỉnh các phần tử con về phía trên cùng?",Multiple Choice,"center","stretch","flex-start","flex-end",,3,60,,
"Khai báo nào sau đây cho phép thêm màu nền cho tất cả các phần tử <h1>?",Multiple Choice,"all.h1 {background-color:#FFFFFF;}","h1.all {background-color:#FFFFFF;}","h1 {background-color:#FFFFFF;}","Không đáp án nào đúng",,3,60,,
"Thuộc tính nào sau đây cho phép thay đổi kích cỡ chữ?",Multiple Choice,"font-style","text-style","text-size","font-size",,4,60,,
"Chọn phương án đúng về đơn vị đo lường trong CSS:",Multiple Choice,"vh và vw là đơn vị tĩnh","em luôn bằng 16px","px là đơn vị tỷ lệ phần trăm (%) của kích thước mặc định","rem là đơn vị tương đối so với font-size của thẻ <html>",,4,60,,
"Trong đoạn mã CSS dưới đây, phần purple được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Value","CSS Rule","CSS Property","CSS Selector",,1,60,,
"<body onload = ""Hello()""> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The user clicks on any paragraph on the page","The page is loaded","The function is never called.",,,2,60,,
"Which of the following is a correct way to modify the text content of an HTML element in JavaScript? (Cách nào sau đây là đúng để sửa đổi nội dung văn bản của một phần tử HTML trong JavaScript?)",Checkbox,"document.getElementById(‘elementId’).innerHTML = ‘New Text’;","document.getElementById(‘elementId’).textContent = ‘New Text’;","document.getElementByClassName(‘elementClass’).innerHTML = ‘New Text’;","document.querySelector(‘#elementId’).innerText = ‘New Text’;",,"1,2,4",60,,
"Which of the following image elements is correct? (Phần tử hình ảnh nào sau đây là đúng cú pháp để hiển thị một hình ảnh trên trang web?)",Multiple Choice,"<image src=”dog.png”>","<img src=”mouse.png”>","<img href=”cat.png”>",,,2,60,,
"What is the purpose of the <header> tag in HTML5? (Mục đích của thẻ <header> trong HTML5 là gì?)",Multiple Choice,"To define introductory content or a set of navigational links (Để xác định nội dung giới thiệu hoặc một tập hợp các liên kết điều hướng.)","To define the footer of a webpage (Để xác định phần chân trang của một trang web.)","To define navigational links (Để xác định các liên kết điều hướng.)","To define the main content of the document (Để xác định nội dung chính của tài liệu.)",,1,60,,
"Cách viết selector nào sau đây có thể được sử dụng để chọn phần từ <h1>? Chọn nhiều. <h1 id=”title”>Welcome</h1>",Checkbox,"Element Selector","Class Selector","Descendant Selector","ID Selector",,"1,4",60,,
"Dòng liên kết với file CSS được đặt ở vùng nào trong file HTML?",Multiple Choice,"Trong thẻ <header>","Trong thẻ <head>","Trong thẻ <body>","Đặt ở đâu cũng được",,2,60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ luôn hiển thị thanh cuộn dù nội dung có vượt quá hay không?",Multiple Choice,"scroll","visible","auto","hidden",,1,60,,
"Trong CSS, thuộc tính nào giúp tạo khoảng cách giữa các dòng trong văn bản?",Multiple Choice,"text-spacing","letter-spacing","line-height","word-spacing",,3,60,,
"JavaScript code must be placed in the <head> section of the document.",Multiple Choice,"Sai","Đúng",,,,1,60,,
"Which of the following topics is covered in the Bootstrap framework course? (Chủ đề nào sau đây được đề cập trong khóa học về framework Bootstrap?)",Multiple Choice,"Artificial Intelligence algorithms (Thuật toán Trí tuệ nhân tạo)","Cybersecurity fundamentals (Các kiến thức cơ bản về an ninh mạng)","Cloud computing services (Dịch vụ điện toán đám mây)","Responsive design principles (Nguyên tắc thiết kế Responsive)",,4,60,,
"Which of the following tags is used to embed CSS in an HTML page? (Thẻ nào sau đây được sử dụng để nhúng CSS vào trang HTML?)",Multiple Choice,"<css>","<!DOCTYPE html>","<style>","<script>",,3,60,,
"Trong CSS, thuộc tính nào sau đây giúp định dạng chữ nghiêng?",Multiple Choice,"@font-face","italic","style","font-style",,4,60,,
"Trong CSS, khai báo sau có ý nghĩa gì? h1 {color: “green”;}",Multiple Choice,"Các thẻ tiêu đề <h1> có màu xanh","Không có hiện tượng gì","Các thẻ tiêu đề có màu xanh","Có lỗi xảy ra",,4,60,,
"Which of the following statements are true about the z-index property in CSS? (Câu nào sau đây là đúng về thuộc tính z-index trong CSS?)",Checkbox,"Negative z-index values are not allowed in CSS. (Giá trị z-index âm không được phép trong CSS.)","z-index only works on positioned elements (position relative, absolute, or fixed). (z-index chỉ hoạt động trên các phần tử đã được định vị (position relative, absolute hoặc fixed).)","A higher z-index value means the element will be closer to the viewer. (Giá trị z-index cao hơn có nghĩa là phần tử sẽ gần hơn với người xem.)","z-index affects the horizontal stacking order of elements. (z-index ảnh hưởng đến thứ tự chồng ngang của các phần tử.)","Elements with the same z-index value follow the HTML document order. (Các phần tử có cùng giá trị z-index tuân theo thứ tự trong tài liệu HTML.)","2,3,5",60,,
"Thuộc tính nào sau đây dùng để thay đổi màu nền?",Multiple Choice,"background-color","bgcolor","backgroundColor","color",,1,60,,
"Which tag is used to let the browser know that it is about to see JavaScript code?",Multiple Choice,"&lts;script&gt;","&lts;javascript&gt;","&lts;head&gt;",,,1,60,,
"What is a client-side script in the context of web development? (Một script phía client trong phát triển web là gì?)",Multiple Choice,"A script that handles file uploads on the server. (Một script xử lý việc tải lên tệp trên máy chủ.)","A script that runs in the user’s browser and interacts with the web page. (Một script chạy trong trình duyệt của người dùng và tương tác với trang web.)","A script that manages database transactions. (Một script quản lý các giao dịch cơ sở dữ liệu.)","A script that runs on the web server and generates HTML for the client. (Một script chạy trên máy chủ web và tạo ra HTML cho client.)",,2,60,,
"Which of the following are new input types introduced in HTML5? (Những loại input nào sau đây được giới thiệu trong HTML5?)",Checkbox,"email","tel","number","password","date","1,2,3,5",60,,
"Based on the following CSS code, how will the text be aligned for the p element? (Văn bản trong thẻ p được căn lề như thế nào khi khai báo như sau?) p { text-align: justify; }",Multiple Choice,"Căn đều hai bên","Căn lề trái","Căn giữa","Căn lề phải",,1,60,,
"Giá trị nào của thuộc tính flex-direction sẽ sắp xếp các phần tử con theo chiều dọc?",Multiple Choice,"column","wrap","row-reverse","row",,1,60,,
"Trong CSS, thuộc tính nào giúp di chuyển phần tử?",Checkbox,"transition","move","animation","transform",,"1,3,4",60,,
"Thuộc tính nào sau đây được sử dụng là thuộc tính rút gọn cho padding trong CSS?",Multiple Choice,"padding-right","padding","padding-left","Tất cả đều đúng",,2,60,,
"Which of the following CSS selectors is used to specify a rule to bind a particular unique element? (Bộ chọn CSS nào sau đây được sử dụng để chỉ định quy tắc liên kết một phần tử duy nhất cụ thể?)",Multiple Choice,"class","id","Cả class và tag","tag",,2,60,,
"Which method is used to access an HTML element by its ID in JavaScript? (Phương thức nào được sử dụng để truy cập một phần tử HTML theo ID của nó trong JavaScript?)",Multiple Choice,"document.getElementsByClassName()","document.getElementById()","document.getElementsByTagName()","document.querySelector()",,2,60,,
"<body> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The user places his/her mouse over any paragraph on the page","The function is never called.","The user clicks on the second paragraph on the page","The user clicks on any paragraph on the page",,3,60,,
"If your browser supports debugging, you can use which of the following to display JavaScript values in the debugger window:",Multiple Choice,"document.log","console.log","console.debug","document.debug",,2,60,,
"Why is hands-on experience significant in web application development? (Tại sao kinh nghiệm thực tế lại quan trọng trong phát triển ứng dụng web?)",Multiple Choice,"It helps in mastering practical skills (Nó giúp thành thạo các kỹ năng thực tế)","It allows developers to avoid technical skills (Nó cho phép nhà phát triển tránh các kỹ năng kỹ thuật)","It negates the need for project management (Nó loại bỏ sự cần thiết của quản lý dự án)","It eliminates the need for understanding customer requirements (Nó loại bỏ sự cần thiết phải hiểu yêu cầu của khách hàng)",,1,60,,
"Trong đoạn mã CSS dưới đây, phần color được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Property","CSS Rule","CSS Selector","CSS Value",,1,60,,
"Thuộc tính CSS nào sau đây giúp xác định độ dày, kiểu, và màu sắc cho đường viền trên của một phần tử trên trang web?",Multiple Choice,"border-top","border-height","border-width","border-style",,1,60,,
"Which of the following are relevant when developing cloud applications with Node.js and React? (Những điều nào sau đây có cần thiết khi phát triển ứng dụng trên điện toán đám mây với Node.js và React?)",Checkbox,"Proficiency in HTML and CSS (Thành thạo HTML và CSS)","Ignoring security practices (Bỏ qua các thực hành về bảo mật)","Understanding JavaScript (Hiểu JavaScript)","Knowledge of database management (Có kiến thức về quản lý cơ sở dữ liệu)",,"1,3,4",60,,
"Which of the following input types introduced in HTML5 is used for selecting a date and time? (Loại input nào sau đây được giới thiệu trong HTML5 được sử dụng để chọn ngày và giờ?)",Multiple Choice,"<input type=’date’>","<input type=’time’>","<input type=’datetime’>","<input type=’datetime-local’>",,4,60,,
"What is the correct syntax of doctype in HTML5? (Cú pháp đúng của doctype trong HTML5 là gì?)",Multiple Choice,"<doctype html!>","<!doctype html>","<doctype html>","</doctype html>",,2,60,,
"Which of the following CSS properties is used to make the text bold? (Thuộc tính CSS nào sau đây được sử dụng để làm cho văn bản in đậm?)",Multiple Choice,"text-align: bold","text-decoration: bold","font-weight: bold","font-style: bold",,3,60,,
"Giá trị nào sau đây là hợp lệ cho thuộc tính display ? Chọn nhiều.",Checkbox,"block","grid","inline","flex",,"1,2,3,4",60,,
"The following is valid JavaScript code: <button onclick=""document.getElementById('demo').innerHTML = Date()"">The time is?</button>",Multiple Choice,"Sai","Đúng",,,,2,60,,
"Which is the correct syntax to change the contents of the HTML element below? <p id = ""quiz"">This is a quiz. </p>",Multiple Choice,"document.querySelectorAll('p').innerHTML = ""New content!"";","document.querySelector('#quiz').innerHTML = ""New content!"";","document.querySelectorAll('p').innerHTML(""New content!"");","document.querySelector('#quiz').innerHTML (""New content!"");",,2,60,,
"JavaScript Arrays are Objects.",Multiple Choice,"Sai","Đúng",,,,2,60,,
"Which of the following are popular front-end frameworks? (Những framework front-end phổ biến nào sau đây?)",Checkbox,"Django","React.js","Angular","Vue.js",,"2,3,4",60,,
"Thuộc tính nào sau đây có thể giúp phần tử HTML trở nên vô hình mà không chiếm không gian trên trang?",Multiple Choice,"opacity: 0;","display: none;","z-index: -1;","visibility: hidden;",,2,60,,
"What role does the Document Object Model (DOM) play in web development? (Mô hình đối tượng (DOM) đóng vai trò gì trong phát triển web?)",Multiple Choice,"It defines the structure of a web document and allows scripts to manipulate it.","It validates the HTML code for errors.","It handles the server-side logic of web applications.","It styles web pages using CSS.",,1,60,,
"What is the primary purpose of the Document Object Model (DOM) in web development? (Mục đích chính của Mô hình Đối tượng Tài liệu (DOM) trong phát triển web là gì?)",Multiple Choice,"To handle database connections and queries. (Để xử lý kết nối và truy vấn cơ sở dữ liệu.)","To manage user authentication and session handling. (Để quản lý xác thực người dùng và xử lý phiên làm việc.)","To define the structure of a web page and allows scripts to access and manipulate HTML elements. (Để định nghĩa cấu trúc của một trang web và cho phép các script truy cập và thao tác với các phần tử HTML.)","To compile and execute JavaScript code. (Để biên dịch và thực thi mã JavaScript.)",,3,60,,
"Which attribute of the HTML5 input element is used to define a field for entering a number within a specific range? (Thuộc tính nào của phần tử input trong HTML5 được sử dụng để xác định một trường nhập số trong một phạm vi cụ thể?)",Checkbox,"min","range","step","max",,"1,3,4",60,,
"CSS là viết tắt của cụm từ nào sau đây?",Multiple Choice,"Colorful Style Sheets","Cascading Style Sheets","Computer Style Sheets","Creative Style Sheets",,2,60,,
"In the following CSS code, what is the color: part known as? (Trong đoạn mã CSS dưới đây, phần color được biết đến là gì?) h1 { color: purple; }",Multiple Choice,"CSS Property","CSS Rule","CSS Selector","CSS Attribute",,1,60,,
"What is JavaScript? (JavaScript là gì?)",Multiple Choice,"JavaScript is an assembly language used to make the website interactive. (JavaScript là ngôn ngữ lắp ráp được sử dụng để làm cho trang web tương tác.)","JavaScript is a scripting language used to make the website interactive. (JavaScript là ngôn ngữ kịch bản được sử dụng để làm cho trang web tương tác.)","JavaScript is a compiled language used to make the website interactive. (JavaScript là ngôn ngữ biên dịch được sử dụng để làm cho trang web tương tác.)","None of the mentioned. (Không ý nào đúng.)",,2,60,,
"<body onload = ""Hello()""> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The function is never called.","The user clicks on any paragraph on the page","The page is loaded",,,3,60,,
"Khai báo CSS nào sau đây là đúng cho phép tạo màu nền yellow cho tất cả các đoạn văn trong trang web?",Multiple Choice,"p {background-color : yellow;}","all p {background-color : #yellow;}","all {background-color : yellow;}","p {background-color : #yellow;}",,1,60,,
"Trong CSS, thuộc tính nào giúp tạo hiệu ứng khi thay đổi thuộc tính của phần tử?",Multiple Choice,"transition","animation","transform","hover",,1,60,,
"What is the role of the Window object in JavaScript? (Vai trò của đối tượng Window trong JavaScript là gì?)",Multiple Choice,"It is used to style HTML elements with CSS. (Nó được sử dụng để định kiểu các phần tử HTML với CSS.)","It represents the document and allows manipulation of HTML elements. (Nó đại diện cho tài liệu và cho phép thao tác với các phần tử HTML.)","It represents the browser’s window and provides methods to interact with the browser. (Nó đại diện cho cửa sổ của trình duyệt và cung cấp các phương thức để tương tác với trình duyệt.)","It is used to declare variables and control flow in JavaScript. (Nó được sử dụng để khai báo biến và điều khiển luồng trong JavaScript.)",,3,60,,
"Which of the following is a correct practice when implementing a mobile-first approach in web design? (Câu nào sau đây là lựa chọn đúng khi áp dụng phương pháp tiếp cận ưu tiên di động trong thiết kế web?)",Multiple Choice,"Start designing for the smallest screen size first and progressively enhance for larger screens. (Bắt đầu thiết kế cho kích thước màn hình nhỏ nhất trước và nâng cấp dần cho các màn hình lớn hơn.)","Always use fixed-width layouts to ensure consistency. (Luôn sử dụng bố cục cố định chiều rộng để đảm bảo tính nhất quán.)","Ignore touch interactions as they are not relevant to mobile-first design. (Bỏ qua các tương tác chạm vì chúng không liên quan đến thiết kế ưu tiên di động.)","Design for the largest screen size first and then degrade for smaller screens. (Thiết kế cho kích thước màn hình lớn nhất trước, sau đó giảm dần cho các màn hình nhỏ hơn.)",,1,60,,
"Which method can be used to add an event listener to a DOM element in JavaScript? (Phương thức nào có thể được sử dụng để thêm một trình nghe sự kiện (event listener) vào một phần tử DOM trong JavaScript?)",Multiple Choice,"bindEvent()","onEvent()","attachEventHandler()","addEventListener()",,4,60,,
"Trong CSS, thuộc tính opacity dùng để làm gì?",Multiple Choice,"Xác định kích thước của phần tử","Xác định kiểu chữ của phần tử","Xác định vị trí của phần tử","Xác định độ trong suốt của phần tử",,4,60,,
"The web browser and web server use which protocol to transfer data? (Trình duyệt web và máy chủ web sử dụng giao thức nào để truyền dữ liệu?)",Multiple Choice,"IMAP","SMTP","DNS","HTTP",,4,60,,
"Giá trị nào của thuộc tính align-items trong flexbox sẽ căn chỉnh các phần tử con về phía dưới cùng?",Multiple Choice,"stretch","center","flex-end","flex-start",,3,60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ ẩn phần nội dung vượt quá kích thước phần tử?",Multiple Choice,"scroll","auto","visible","hidden",,4,60,,
"var my_array = [2, 4, 6, 8, 10] What is the value of my_array.length ?",Multiple Choice,"5","6","4","Undefined",,1,60,,
"Which of the following are valid control flow statements in JavaScript? (Những câu lệnh điều khiển nào sau đây là hợp lệ trong JavaScript?)",Checkbox,"for","foreach","loop","if-else",,"1,4",60,,
"Which of the following best describes how browsers enable scripting? (Điều nào sau đây mô tả đúng nhất cách trình duyệt kích hoạt tập lệnh?)",Multiple Choice,"Browsers parse and execute JavaScript code within HTML documents.","Browsers convert JavaScript into machine code before executing.","Browsers require plugins to execute JavaScript code.","Browsers translate HTML into JavaScript and then execute it.",,1,60,,
"Thuộc tính nào sau đây giúp phần tử HTML trở nên vô hình nhưng vẫn chiếm không gian trên trang?",Multiple Choice,"opacity: 0;","visibility: hidden;","display: none;","z-index: -1;",,2,60,,
"Thuộc tính CSS nào sau đây được sử dụng để thay đổi khoảng cách bên trái của một phần tử với phần tử khác?",Multiple Choice,"margin-left","padding-left","indent",,,1,60,,
"Giá trị nào của thuộc tính justify-content giúp căn chỉnh các phần tử con theo chiều ngang ở giữa trong flexbox?",Multiple Choice,"flex-end","flex-start","center","space-between",,3,60,,
